automation_id;display_name;automation_type;host;schedule;schedule_tz;status;blast_radius;critical;affects_clients;is_idempotent;side_effects;has_fallback;has_lock;script_path;log_path;restart_cmd;infra_deps;external_api_deps;blocks_jobs;staleness_threshold_h;last_success_at;last_failure_at;failure_count_7d;owner;on_call_notify;description;documented_in;in_claude_md;has_tests;last_modified_at;notes
webhook-instagram;Instagram Webhook Handler;webhook;fly_io;on_webhook:instagram;UTC;ok;MEDIUM;true;true;false;external_api_call;true;none;apps/backend-rag/backend/channels/instagram/adapter.py;fly logs -a nuzantara-rag;n/a;postgres_fly|qdrant_fly;instagram_graph_api|gemini_api;;0.1;;;zero;zero;telegram:413539912;Instagram adapter Fly.io. Mantieni mid field + mark_seen in send_response.;CLAUDE.md §13b Channels;true;true;2026-03-16;Scar: merge conflicts — sempre preservare mid field in receive_message
pg-trigger-client-lifecycle;PostgreSQL Trigger: client_lifecycle;pg_trigger;postgres_fly;on_mutation:clients;UTC;ok;HIGH;true;true;false;db_write;true;none;apps/backend-rag/backend/migrations/;fly logs -a nuzantara-postgres;n/a (DB trigger);postgres_fly;;;0.1;;;zero;zero;telegram:413539912;Sync client data a memory/KG on INSERT/UPDATE. Migration applicata.;CLAUDE.md §13 PostgreSQL Triggers;true;true;2026-03-22;
mcp-chain-daily-ops;MCP Chain: Daily Ops Autopilot;mcp_chain;air;manual|triggered;UTC;ok;LOW;false;false;false;db_write|telegram_sent;true;none;apps/nuzantara-mcp/nuzantara_mcp/workflows/chains.py;/tmp/openclaw/;mcp__nuzantara-mcp__chain_daily_ops_autopilot;;postgres_fly|telegram_bot_api|||qdrant_fly;;24;;;zero;zero;telegram:413539912;Daily ops automation chain: client check, compliance alerts, notifications. 8 workflow chains totali.;CLAUDE.md §7 MCP Chains;true;false;2026-03-23;
mcp-chain-intel-pipeline;MCP Chain: Intel Pipeline;mcp_chain;air;manual|triggered;UTC;ok;MEDIUM;false;false;false;db_write;true;none;apps/nuzantara-mcp/nuzantara_mcp/workflows/chains.py;/tmp/openclaw/;mcp__nuzantara-mcp__chain_intel_pipeline;;postgres_fly|qdrant_fly||gemini_api;;24;;;zero;zero;;Intel pipeline chain: scrape → enrich → publish.;CLAUDE.md §7 MCP Chains;true;false;2026-03-23;
mcp-chain-weekly-report;MCP Chain: Weekly Report;mcp_chain;air;Sun manual;UTC;ok;LOW;false;false;false;telegram_sent|email_sent;false;none;apps/nuzantara-mcp/nuzantara_mcp/workflows/chains.py;/tmp/openclaw/;mcp__nuzantara-mcp__chain_weekly_report;;postgres_fly|brevo_email||telegram_bot_api;;192;;;zero;zero;telegram:413539912;Weekly report chain: stats 7gg → email + Telegram.;CLAUDE.md §7 MCP Chains;true;false;2026-03-23;
mcp-chain-client-onboarding;MCP Chain: New Client Onboarding;mcp_chain;air;on_trigger:new_client;UTC;ok;HIGH;true;true;false;db_write|email_sent|webhook_fired;true;none;apps/nuzantara-mcp/nuzantara_mcp/workflows/chains.py;/tmp/openclaw/;mcp__nuzantara-mcp__chain_new_client_onboarding;;postgres_fly|google_drive_oauth|brevo_email;;0.5;;;zero;zero;telegram:413539912;Onboarding nuovo cliente: CRM + Drive folder + welcome email. Side effects irreversibili.;CLAUDE.md §7 MCP Chains;true;false;2026-03-23;ATTENZIONE: email_sent a cliente — non rilanciare senza verifica
core-guardian-watchdog;Core Guardian V3 — Watchdog (L1);cron_air;air;03:00 WITA;Asia/Makassar;ok;MEDIUM;false;false;true;telegram_sent;true;none;apps/evaluator/core_guardian/watchdog.py;logs/sentinel.log;python3 apps/evaluator/core_guardian/watchdog.py;local_fs|qdrant_fly|||postgres_fly;;;25;;;zero;zero;telegram:413539912;Watchdog L1: lint check, test failure detection, job health. Baseline: 3917 passed, 2051 violations.;CLAUDE.md §15 Core Guardian V3;true;true;2026-03-20;Non interferire con suoi fix. Gira dentro auto_sentinel.sh.
core-guardian-scout;Core Guardian V3 — Scout (L2);cron_air;air;03:00 WITA (dopo Watchdog);Asia/Makassar;ok;MEDIUM;false;false;true;file_created;true;none;apps/evaluator/core_guardian/scout.py;logs/sentinel.log;python3 apps/evaluator/core_guardian/scout.py;local_fs;;;;25;;;zero;zero;telegram:413539912;Scout L2: AST analysis, cache invalidation audit, pattern detection.;CLAUDE.md §15 Core Guardian V3;true;true;2026-03-20;
pro-openclaw-client-health;Client Health Monitor;openclaw;pro;*/30 * * * *;WITA;ok;LOW;false;true;true;none;false;false;chain_client_health_monitor;~/.agent/logs/;;postgres_fly;qdrant;;;2;;;0;zero;telegram:413539912;Monitora salute clienti: scadenze, practice stale, compliance. MCP chain via OpenClaw.;CLAUDE.md §12;true;false;2026-03-31;
pro-openclaw-client-predictor;Client Value Predictor;openclaw;pro;0 9 * * *;WITA;ok;LOW;false;true;true;none;false;false;run_client_predictor;~/.agent/logs/;;postgres_fly;openai_api;;24;;;0;zero;telegram:413539912;Predice churn/upsell per clienti. ML model via MCP.;CLAUDE.md §12;true;false;2026-03-31;
pro-openclaw-compliance-ops;Compliance Ops Autopilot;openclaw;pro;0 8 * * *;WITA;ok;MEDIUM;true;true;false;db_write;true;false;chain_compliance_autopilot;~/.agent/logs/;;postgres_fly;;;24;;;0;zero;telegram:413539912;Autopilot compliance: scadenze visti, avvisi equipe. MCP chain.;CLAUDE.md §12;true;false;2026-03-31;
pro-openclaw-conversation-cleanup;Conversation Cleanup;openclaw;pro;0 3 * * *;WITA;ok;LOW;false;false;true;db_write;false;true;conversation_cleanup;~/.agent/logs/;;redis;postgres_fly;;;24;;;0;zero;telegram:413539912;Pulisce conversazioni WhatsApp/Telegram vecchie da Redis/DB.;CLAUDE.md;true;false;2026-03-31;
pro-cron-coverage-trend;Coverage Trend;cron_pro;pro;0 6 * * 1;WITA;ok;LOW;false;false;true;none;false;false;scripts/coverage_trend.sh;~/.agent/logs/coverage.log;;;;;168;;;0;zero;telegram:413539912;Trend copertura test settimanale. Grafico su Telegram.;;false;false;2026-03-31;
pro-openclaw-daily-ops;Daily Ops Autopilot;openclaw;pro;0 9 * * 1-5;WITA;ok;MEDIUM;true;true;false;db_write;telegram;true;false;chain_daily_ops_autopilot;~/.agent/logs/;;postgres_fly;telegram_bot_api;;24;;;0;zero;telegram:413539912;Autopilot ops quotidiano: briefing, notifiche, task assegnazione.;CLAUDE.md §12;true;false;2026-03-31;
pro-openclaw-expiry-alerter;Expiry Alerter;openclaw;pro;0 8 * * *;WITA;ok;MEDIUM;true;true;true;whatsapp;email;true;false;get_expiry_alerts;~/.agent/logs/;;postgres_fly;brevo_api;wa_api;;24;;;0;zero;telegram:413539912;Alert scadenze visti/documenti ai clienti via WhatsApp/email.;CLAUDE.md §12;true;false;2026-03-31;
pro-cron-indexing-daily;KBLI SEO Daily Indexing;cron_pro;pro;0 4 * * *;WITA;ok;LOW;false;false;true;none;false;false;apps/evaluator/kbli_indexing_submit.py;~/.agent/logs/indexing.log;;;google_search_console;;24;;;0;zero;telegram:413539912;Sottomissione URL KBLI a Google Search Console. Batch 200/day.;CLAUDE.md §15;true;true;2026-03-31;
pro-openclaw-learning-pipeline;Learning Pipeline;openclaw;pro;0 2 * * *;WITA;ok;LOW;false;false;true;qdrant_write;true;false;run_conversation_trainer;~/.agent/logs/;;qdrant;postgres_fly;openai_api;;24;;;0;zero;telegram:413539912;Pipeline apprendimento da conversazioni: estrae episodi, aggiorna Qdrant memoria.;CLAUDE.md §12;true;false;2026-03-31;
pro-cron-post-publish-poller;Post Publish Poller;cron_pro;pro;*/15 * * * *;WITA;ok;LOW;false;false;true;none;false;false;scripts/post_publish_poller.sh;~/.agent/logs/poller.log;;postgres_fly;;;1;;;0;zero;telegram:413539912;Polling articoli pubblicati in attesa di post-processing (SEO, NLM ingest).;;false;false;2026-03-31;
pro-cron-seo-guardian-weekly;SEO Guardian Weekly;cron_pro;pro;0 8 * * 1;WITA;ok;LOW;false;false;true;none;false;false;apps/evaluator/seo_guardian.py --weekly;~/.agent/logs/seo_guardian.log;;;google_search_console;ahrefs_api;;168;;;0;zero;telegram:413539912;Audit SEO settimanale: backlinks, ranking, coverage GEO/AEO.;CLAUDE.md §12;true;false;2026-03-31;air-cron-seo-guardian è osservazione Air, questo è audit Pro settimanale
pro-openclaw-tech-orchestrator;Tech Orchestrator;openclaw;pro;on_demand;WITA;ok;HIGH;false;true;false;code_deploy;true;false;create_execution_plan;~/.agent/logs/;;postgres_fly;;;1;;;0;zero;telegram:413539912;Orchestratore tecnico: pianifica e dispatcha task complessi via MCP chains.;CLAUDE.md §2;true;false;2026-03-31;
pro-cron-translate-hourly;Translate Hourly;cron_pro;pro;0 * * * *;WITA;ok;LOW;false;false;true;db_write;false;false;scripts/translate_hourly.sh;~/.agent/logs/translate.log;;postgres_fly;deepl_api;;2;;;0;zero;telegram:413539912;Traduzione automatica contenuti in sospeso (EN→ID, IT→EN).;;false;false;2026-03-31;
pro-openclaw-war-room;War Room;openclaw;pro;0 7 * * 1-5;WITA;ok;MEDIUM;false;false;false;canva_write;notion;false;false;apps/war-room/;~/.agent/logs/;;postgres_fly;canva_api;;24;;;0;zero;telegram:413539912;War Room ops dashboard: aggiorna Canva, genera briefing settimanale.;CLAUDE.md §1;true;false;2026-03-31;
pro-cron-weekly-dep-audit;Weekly Dependency Audit;cron_pro;pro;0 5 * * 1;WITA;ok;LOW;false;false;true;none;false;false;scripts/weekly_dep_audit.sh;~/.agent/logs/dep_audit.log;;;npm_registry;pypi;;168;;;0;zero;telegram:413539912;Audit dipendenze npm/pip: vulnerabilità, outdated, size budget.;;false;false;2026-03-31;
pro-openclaw-weekly-review;Weekly Review;openclaw;pro;0 10 * * 1;WITA;ok;LOW;false;false;false;telegram;false;false;chain_weekly_report;~/.agent/logs/;;postgres_fly;telegram_bot_api;;168;;;0;zero;telegram:413539912;Report settimanale business: clienti, revenue, practices, KPI. Inviato su Telegram.;CLAUDE.md §12;true;false;2026-03-31;
pro-cron-core-guardian;Core Guardian (combined);cron_pro;pro;0 */3 * * *;WITA;ok;MEDIUM;false;false;false;git_commit;true;true;apps/evaluator/core_guardian/;~/.agent/logs/core_guardian.log;;;;;3;;;0;zero;telegram:413539912;Core Guardian V3: Watchdog+Scout+Surgeon. Auto-fix lint in worktree ogni 3h.;CLAUDE.md §11 Core Guardian V3;true;true;2026-03-31;Split in core-guardian-watchdog + core-guardian-scout su Air CSV
